CATEGORY,NAME,Lat,Long
Leisure,Park:Carruthers Memorial Park,-123.923,46.188
Leisure,Park:Promised Land Recreation Area,-123.922,47.263
Leisure,Park:Fort Columbia State Park,-123.919,46.260
Leisure,Park:John Gable Community Park,-123.918,46.982
Leisure,Park:Cullaby Lake County Park,-123.910,46.083
Leisure,Park:Lions City Park,-123.908,46.985
Leisure,Park:Palix State Wildlife Recreation Area,-123.905,46.598
Leisure,Park:Carnahan County Park,-123.904,46.097
Leisure,Park:Camp Cullaby,-123.902,46.095
Leisure,Park:Nehalem City Park,-123.899,45.713
Leisure,Park:Nehalem Harwood Square,-123.894,45.875
Leisure,Park:Nehalem H Street Dock,-123.893,45.885
Leisure,Picnic spot:Klootchy Creek County Park,-123.893,45.921
Leisure,Park:Elton Bennett Park,-123.892,46.987
Leisure,Park:Bruceport Park,-123.888,46.686
Leisure,Park:Lincoln Park,-123.887,46.990
Leisure,Park:Last Spur Park,-123.886,46.984
Leisure,Park:Wheeler Upper Park,-123.883,45.687
Leisure,Park:Waterfront Park,-123.882,45.691
Leisure,Park:Riverside Dike Park,-123.880,46.978
Leisure,Park:Beacon Hill Park,-123.876,46.980
Leisure,Park:Smith Creek State Wildlife Recreation Area,-123.873,46.738
Leisure,Park:C Z Picnic Ground,-123.862,45.901
Leisure,Park:Olympic Stadium,-123.859,46.978
Leisure,Park:Lewis and Clark River Boat Ramp,-123.855,46.104
Leisure,Park:Tapiola Park,-123.851,46.177
Leisure,Park:West End Playfield,-123.847,46.972
Leisure,Park:Roy Creek Park,-123.840,45.703
Leisure,Park:Quinault Recreation Area,-123.834,47.467
Leisure,Park:Finch Playfield,-123.831,46.977
Leisure,Park:L Street Park,-123.828,46.980
Leisure,Park:Shively Park,-123.825,46.177
Leisure,Nature reserve:Chemainus River Park,-123.824,48.843
Leisure,Park:Franklin Field,-123.823,46.973
Leisure,Park:Benn Memorial Park,-123.821,46.982
Leisure,Park:John Warren Field,-123.821,46.188
Leisure,Park:Stewart Memorial Park,-123.818,46.998
Leisure,Attraction:Astor Column,-123.818,46.181
Leisure,Attraction:Koksilah Ancient Trees,-123.817,48.642
Leisure,Park:Miller Natatorium and Gym/Stewart Field Complex,-123.813,46.986
Leisure,Park:Zelasko Park,-123.812,46.976
Leisure,Park:North Aberdeen Playfield,-123.806,46.986
Leisure,Picnic spot,-123.798,48.763
Leisure,Park:Pioneer Park,-123.792,46.966
Leisure,Nature reserve:Koksilah River Park,-123.783,48.630
Leisure,Park:Nehalem Falls Campground,-123.772,45.720
Leisure,Park:North Fork Nehalem County Park,-123.772,45.813
Leisure,Park:Mill Creek Park,-123.770,46.950
Leisure,Park:Olympic State Wildlife Recreation Area,-123.747,47.147
Leisure,Nature reserve:Koksilah River Park,-123.742,48.642
Leisure,Park:John Day County Park,-123.742,46.175
Leisure,Park:Sigfredson County Park,-123.725,46.091
Leisure,Picnic spot,-123.722,48.904
Leisure,Cinema,-123.707,48.779
Leisure,Picnic spot,-123.706,48.384
Leisure,Attraction:Lighthouse - Museum,-123.706,48.384
Leisure,Attraction:Chances Cowichan Casino,-123.700,48.773
Leisure,Park:Salt Creek Recreation Area,-123.699,48.159
Leisure,Nature reserve:Eves Park,-123.698,48.861
Leisure,Playground,-123.697,48.761
Leisure,Park:Willie Keils Grave State Park,-123.688,46.660
Leisure,Park:David Douglas County Park,-123.688,45.906
Leisure,Park:Saddle Mountain State Park,-123.686,45.966
Leisure,Attraction:Viewpoint,-123.685,45.969
Leisure,Mooring line,-123.670,48.982
Leisure,Pier,-123.669,48.654
Leisure,Pier,-123.669,48.655
Leisure,Mooring line,-123.669,48.978
Leisure,Pier,-123.668,48.655
Leisure,Pier,-123.668,48.654
Leisure,Pier,-123.668,48.654
Leisure,Pier,-123.668,48.655
Leisure,Pier,-123.667,48.655
Leisure,Pier,-123.667,48.655
Leisure,Pier,-123.667,48.653
Leisure,Pier,-123.667,48.655
Leisure,Pier,-123.667,48.653
Leisure,Pier,-123.667,48.653
Leisure,Pier,-123.666,48.654
Leisure,Pier,-123.666,48.653
Leisure,Pier,-123.665,48.653
Leisure,Pier,-123.665,48.653
Leisure,Pier,-123.665,48.654
Leisure,Pier,-123.665,48.653
Leisure,Pier,-123.664,48.654
Leisure,Pier,-123.664,48.652
Leisure,Pier,-123.663,48.654
Leisure,Pier,-123.663,48.652
Leisure,Pier,-123.663,48.652
Leisure,Pier,-123.662,48.653
Leisure,Pier,-123.662,48.653
Leisure,Pier,-123.661,48.651
Leisure,Pier,-123.661,48.653
Leisure,Pier,-123.660,48.651
Leisure,Playground,-123.659,48.782
Leisure,Pier,-123.656,48.649
Leisure,Pier,-123.656,48.649
Leisure,Pier,-123.656,48.649
Leisure,Park:Sooke Mountain Park,-123.656,48.440
Leisure,Pier,-123.655,48.649
Leisure,Pier,-123.655,48.649
Leisure,Pier,-123.655,48.648
Leisure,Playground,-123.654,48.793
Leisure,Pier,-123.654,48.648
Leisure,Pier,-123.653,48.648
Leisure,Pier,-123.653,48.648
Leisure,Pier,-123.653,48.647
Leisure,Pier,-123.653,48.647
Leisure,Pier,-123.652,48.646
Leisure,Pier,-123.652,48.646
Leisure,Pier,-123.651,48.646
Leisure,Pier,-123.651,48.645
Leisure,Pier,-123.650,48.643
Leisure,Pier,-123.650,48.643
Leisure,Pier,-123.649,48.638
Leisure,Pier,-123.649,48.638
Leisure,Pier,-123.649,48.638
Leisure,Pier,-123.649,48.648
Leisure,Pier,-123.649,48.637
Leisure,Pier,-123.648,48.637
Leisure,Pier,-123.648,48.637
Leisure,Pier,-123.648,48.637
Leisure,Pier,-123.648,48.637
Leisure,Pier,-123.647,48.648
Leisure,Pier,-123.647,48.637
Leisure,Pier,-123.647,48.637
Leisure,Pier,-123.647,48.648
Leisure,Pier,-123.647,48.637
Leisure,Pier,-123.647,48.648
Leisure,Pier,-123.646,48.637
Leisure,Pier,-123.646,48.648
Leisure,Pier,-123.646,48.630
Leisure,Pier,-123.646,48.637
Leisure,Pier,-123.646,48.631
Leisure,Pier,-123.646,48.630
Leisure,Pier,-123.646,48.636
Leisure,Pier,-123.646,48.630
Leisure,Pier,-123.645,48.636
Leisure,Pier,-123.645,48.630
Leisure,Pier,-123.645,48.648
Leisure,Pier,-123.645,48.629
Leisure,Pier,-123.645,48.629
Leisure,Pier,-123.645,48.636
Leisure,Pier,-123.645,48.633
Leisure,Pier,-123.645,48.633
Leisure,Pier,-123.645,48.629
Leisure,Pier,-123.645,48.636
Leisure,Pier,-123.645,48.634
Leisure,Pier,-123.645,48.634
Leisure,Pier,-123.645,48.635
Leisure,Pier,-123.645,48.635
Leisure,Pier,-123.645,48.634
Leisure,Pier,-123.645,48.633
Leisure,Pier,-123.645,48.648
Leisure,Pier,-123.645,48.631
Leisure,Pier,-123.645,48.635
Leisure,Pier,-123.645,48.632
Leisure,Pier,-123.645,48.632
Leisure,Pier,-123.645,48.632
Leisure,Pier,-123.645,48.618
Leisure,Pier,-123.645,48.631
Leisure,Pier,-123.645,48.632
Leisure,Pier,-123.645,48.632
Leisure,Pier,-123.645,48.632
Leisure,Pier,-123.645,48.634
Leisure,Pier,-123.645,48.618
Leisure,Pier,-123.645,48.635
Leisure,Pier,-123.645,48.635
Leisure,Pier,-123.645,48.629
Leisure,Pier,-123.645,48.619
Leisure,Pier,-123.645,48.618
Leisure,Pier,-123.644,48.617
Leisure,Pier,-123.644,48.629
Leisure,Pier,-123.644,48.617
Leisure,Pier,-123.644,48.616
Leisure,Pier,-123.644,48.616
Leisure,Pier,-123.644,48.628
Leisure,Pier,-123.644,48.616
Leisure,Pier,-123.644,48.616
Leisure,Pier,-123.644,48.628
Leisure,Pier,-123.644,48.628
Leisure,Pier,-123.644,48.615
Leisure,Pier,-123.643,48.628
Leisure,Pier,-123.643,48.631
Leisure,Pier,-123.643,48.627
Leisure,Pier,-123.643,48.615
Leisure,Pier,-123.643,48.614
Leisure,Pier,-123.643,48.611
Leisure,Pier,-123.643,48.611
Leisure,Pier,-123.643,48.626
Leisure,Pier,-123.643,48.614
Leisure,Pier,-123.643,48.611
Leisure,Pier,-123.643,48.626
Leisure,Pier,-123.642,48.610
Leisure,Pier,-123.642,48.610
Leisure,Pier,-123.642,48.613
Leisure,Pier,-123.642,48.610
Leisure,Pier,-123.642,48.625
Leisure,Pier,-123.642,48.648
Leisure,Pier,-123.642,48.627
Leisure,Pier,-123.642,48.617
Leisure,Pier,-123.642,48.610
Leisure,Pier,-123.642,48.609
Leisure,Pier,-123.641,48.609
Leisure,Pier,-123.641,48.648
Leisure,Pier,-123.641,48.609
Leisure,Pier,-123.641,48.617
Leisure,Pier,-123.641,48.608
Leisure,Pier,-123.640,48.617
Leisure,Pier,-123.640,48.648
Leisure,Pier,-123.640,48.618
Leisure,Pier,-123.640,48.623
Leisure,Pier,-123.640,48.623
Leisure,Pier,-123.640,48.649
Leisure,Pier,-123.640,48.618
Leisure,Pier,-123.640,48.618
Leisure,Pier,-123.640,48.619
Leisure,Pier,-123.640,48.607
Leisure,Pier,-123.640,48.619
Leisure,Pier,-123.639,48.616
Leisure,Pier,-123.639,48.615
Leisure,Pier,-123.639,48.607
Leisure,Pier,-123.639,48.622
Leisure,Pier,-123.639,48.622
Leisure,Pier,-123.639,48.619
Leisure,Pier,-123.639,48.607
Leisure,Pier,-123.639,48.606
Leisure,Pier,-123.639,48.619
Leisure,Picnic spot,-123.638,48.324
Leisure,Pier,-123.638,48.606
Leisure,Pier,-123.638,48.651
Leisure,Pier,-123.638,48.651
Leisure,Pier,-123.638,48.651
Leisure,Pier,-123.638,48.650
Leisure,Pier,-123.638,48.650
Leisure,Pier,-123.638,48.651
Leisure,Pier,-123.638,48.606
Leisure,Pier,-123.638,48.651
Leisure,Pier,-123.638,48.606
Leisure,Pier,-123.638,48.652
Leisure,Pier,-123.638,48.652
Leisure,Pier,-123.637,48.652
Leisure,Pier,-123.637,48.606
Leisure,Nature reserve:Mount Tzouhalem Ecological Reserve,-123.637,48.790
Leisure,Pier,-123.637,48.652
Leisure,Pier,-123.637,48.613
Leisure,Pier,-123.637,48.605
Leisure,Pier,-123.636,48.605
Leisure,Pier,-123.636,48.612
Leisure,Pier,-123.636,48.605
Leisure,Pier,-123.636,48.605
Leisure,Pier,-123.636,48.614
Leisure,Pier,-123.636,48.628
Leisure,Pier,-123.636,48.612
Leisure,Pier,-123.636,48.655
Leisure,Pier,-123.636,48.632
Leisure,Pier,-123.636,48.631
Leisure,Pier,-123.636,48.632
Leisure,Pier,-123.636,48.631
Leisure,Pier,-123.636,48.632
Leisure,Pier,-123.636,48.632
Leisure,Pier,-123.636,48.632
Leisure,Pier,-123.636,48.633
Leisure,Pier,-123.636,48.634
Leisure,Pier,-123.636,48.633
Leisure,Pier,-123.636,48.633
Leisure,Pier,-123.636,48.612
Leisure,Pier,-123.636,48.631
Leisure,Pier,-123.635,48.635
Leisure,Pier,-123.635,48.627
Leisure,Pier,-123.635,48.631
Leisure,Pier,-123.635,48.652
Leisure,Pier,-123.635,48.631
Leisure,Pier,-123.635,48.635
Leisure,Pier,-123.635,48.605
Leisure,Pier,-123.635,48.611
Leisure,Pier,-123.635,48.630
Leisure,Pier,-123.635,48.635
Leisure,Pier,-123.635,48.656
Leisure,Pier,-123.635,48.627
Leisure,Pier,-123.635,48.635
Leisure,Pier,-123.635,48.605
Leisure,Pier,-123.635,48.656
Leisure,Pier,-123.635,48.604
Leisure,Pier,-123.635,48.622
Leisure,Pier,-123.635,48.625
Leisure,Pier,-123.635,48.604
Leisure,Pier,-123.635,48.656
Leisure,Pier,-123.635,48.622
Leisure,Park:Lewis and Clark National Wildlife Refuge,-123.635,46.216
Leisure,Pier,-123.635,48.624
Leisure,Pier,-123.635,48.604
Leisure,Pier,-123.635,48.604
Leisure,Pier,-123.634,48.604
Leisure,Pier,-123.634,48.615
Leisure,Pier,-123.634,48.625
Leisure,Pier,-123.634,48.623
Leisure,Pier,-123.634,48.656
Leisure,Pier,-123.634,48.624
Leisure,Mooring line,-123.634,48.636
Leisure,Pier,-123.634,48.655
Leisure,Pier,-123.634,48.636
Leisure,Pier,-123.634,48.640
Leisure,Pier,-123.634,48.640
Leisure,Pier,-123.634,48.640
Leisure,Pier,-123.634,48.640
Leisure,Pier,-123.634,48.640
Leisure,Pier,-123.634,48.636
Leisure,Pier,-123.634,48.641
Leisure,Pier,-123.634,48.639
Leisure,Pier,-123.633,48.641
Leisure,Pier,-123.633,48.620
Leisure,Pier,-123.633,48.638
Leisure,Pier,-123.633,48.639
Leisure,Pier,-123.633,48.639
Leisure,Pier,-123.633,48.641
Leisure,Pier,-123.633,48.639
Leisure,Pier,-123.633,48.638
Leisure,Pier,-123.633,48.638
Leisure,Pier,-123.633,48.620
Leisure,Pier,-123.633,48.603
Leisure,Pier,-123.633,48.656
Leisure,Pier,-123.633,48.618
Leisure,Pier,-123.633,48.636
Leisure,Pier,-123.633,48.618
Leisure,Pier,-123.633,48.638
Leisure,Pier,-123.632,48.621
Leisure,Pier,-123.632,48.619
Leisure,Pier,-123.632,48.638
Leisure,Pier,-123.632,48.655
Leisure,Pier,-123.632,48.655
Leisure,Pier,-123.632,48.636
Leisure,Pier,-123.632,48.621
Leisure,Pier,-123.632,48.638
Leisure,Pier,-123.632,48.616
Leisure,Pier,-123.632,48.620
Leisure,Pier,-123.632,48.638
Leisure,Pier,-123.632,48.602
Leisure,Mooring line,-123.632,48.329
Leisure,Pier,-123.632,48.638
Leisure,Pier,-123.632,48.620
Leisure,Pier,-123.632,48.638
Leisure,Pier,-123.632,48.638
Leisure,Pier,-123.631,48.615
Leisure,Pier,-123.631,48.638
Leisure,Pier,-123.631,48.601
Leisure,Pier,-123.631,48.647
Leisure,Pier,-123.631,48.601
Leisure,Pier,-123.631,48.601
Leisure,Pier,-123.631,48.636
Leisure,Pier,-123.631,48.601
Leisure,Pier,-123.631,48.608
Leisure,Pier,-123.631,48.600
Leisure,Pier,-123.630,48.600
Leisure,Pier,-123.630,48.656
Leisure,Pier,-123.630,48.609
Leisure,Pier,-123.630,48.600
Leisure,Picnic spot,-123.630,48.863
Leisure,Pier,-123.630,48.647
Leisure,Pier,-123.630,48.600
Leisure,Pier,-123.630,48.609
Leisure,Pier,-123.630,48.637
Leisure,Pier,-123.630,48.610
Leisure,Pier,-123.630,48.606
Leisure,Pier,-123.630,48.648
Leisure,Pier,-123.630,48.656
Leisure,Pier,-123.630,48.637
Leisure,Pier,-123.629,48.637
Leisure,Pier,-123.629,48.648
Leisure,Pier,-123.629,48.649
Leisure,Pier,-123.629,48.605
Leisure,Pier,-123.629,48.657
Leisure,Pier,-123.629,48.637
Leisure,Pier,-123.629,48.610
Leisure,Pier,-123.629,48.614
Leisure,Pier,-123.629,48.637
Leisure,Pier,-123.629,48.649
Leisure,Pier,-123.629,48.657
Leisure,Pier,-123.629,48.598
Leisure,Pier,-123.629,48.649
Leisure,Pier,-123.629,48.614
Leisure,Pier,-123.629,48.598
Leisure,Pier,-123.629,48.650
Leisure,Pier,-123.629,48.657
Leisure,Pier,-123.629,48.638
Leisure,Pier,-123.629,48.650
Leisure,Pier,-123.629,48.598
Leisure,Pier,-123.629,48.596
Leisure,Pier,-123.629,48.596
Leisure,Pier,-123.629,48.597
Leisure,Pier,-123.629,48.598
Leisure,Pier,-123.629,48.614
Leisure,Pier,-123.628,48.598
Leisure,Pier,-123.628,48.596
Leisure,Pier,-123.628,48.597
Leisure,Pier,-123.628,48.597
Leisure,Pier,-123.628,48.651
Leisure,Pier,-123.628,48.611
Leisure,Pier,-123.628,48.604
Leisure,Pier,-123.627,48.652
Leisure,Pier,-123.627,48.614
Leisure,Pier,-123.627,48.603
Leisure,Pier,-123.626,48.654
Leisure,Pier,-123.625,48.598
Leisure,Pier,-123.625,48.602
Leisure,Pier,-123.624,48.602
Leisure,Pier,-123.624,48.602
Leisure,Park:Sunset Highway State Park,-123.624,45.889
Leisure,Pier,-123.623,48.597
Leisure,Pier,-123.623,48.597
Leisure,Pier,-123.623,48.597
Leisure,Pier,-123.623,48.596
Leisure,Pier,-123.621,48.498
Leisure,Mooring line,-123.618,48.742
Leisure,Picnic spot,-123.618,48.689
Leisure,Picnic spot,-123.617,48.687
Leisure,Park:Howard Rierson Spruce Run County Park,-123.612,45.814
Leisure,Pier,-123.610,48.815
Leisure,Picnic spot,-123.607,48.708
Leisure,Picnic spot,-123.606,48.709
Leisure,Mooring line,-123.603,48.803
Leisure,Mooring line,-123.602,48.337
Leisure,Mooring line,-123.602,48.798
Leisure,Mooring line,-123.602,48.796
Leisure,Pier,-123.596,48.943
Leisure,Pier,-123.593,48.927
Leisure,Park:Big Creek County Park,-123.592,46.165
Leisure,Mooring line:Cherry Point Marina,-123.590,48.735
Leisure,Pier,-123.590,48.896
Leisure,Park:Lake Sylvia State Park,-123.589,47.001
Leisure,Pier,-123.588,48.895
Leisure,Pier,-123.586,48.910
Leisure,Park:Fishhawk Falls - Lee Wooden County Park,-123.585,45.958
Leisure,Pier,-123.584,48.995
Leisure,Pier,-123.580,48.990
Leisure,Pier,-123.579,48.887
Leisure,Pier,-123.575,48.986
Leisure,Pier,-123.574,48.985
Leisure,Pier,-123.572,48.347
Leisure,Pier,-123.572,48.347
Leisure,Pier,-123.567,48.348
Leisure,Pier,-123.562,48.344
Leisure,Park:Swinging Bridge Park,-123.558,47.111
Leisure,Pier,-123.558,48.544
Leisure,Park:Jones Creek Campground,-123.558,45.589
Leisure,Pier,-123.555,48.902
Leisure,Nature reserve:Wallace Island Marine Park,-123.554,48.945
Leisure,Pier,-123.553,48.902
Leisure,Park:Smith Homestead,-123.553,45.587
Leisure,Picnic spot,-123.553,48.459
Leisure,Pier,-123.552,48.965
Leisure,Pier,-123.552,48.901
Leisure,Pier,-123.552,48.506
Leisure,Park:Jewell Meadows State Wildlife Management Area,-123.551,45.937
Leisure,Park:Wilson River Picnic Ground (historical),-123.551,45.589
Leisure,Mooring line,-123.551,48.650
Leisure,Pier,-123.550,48.900
Leisure,Mooring line:Musgrave Landing Estates Marina,-123.549,48.749
Leisure,Pier,-123.549,48.510
Leisure,Pier,-123.549,48.749
Leisure,Park:Diamond Mill OHV Staging Area,-123.548,45.605
Leisure,Pier,-123.548,48.784
Leisure,Pier,-123.546,48.899
Leisure,Pier,-123.546,48.315
Leisure,Pier,-123.545,48.898
Leisure,Pier,-123.545,48.525
Leisure,Pier,-123.544,48.883
Leisure,Pier,-123.544,48.521
Leisure,Pier,-123.544,48.882
Leisure,Pier,-123.543,48.882
Leisure,Pier,-123.543,48.881
Leisure,Pier,-123.543,48.881
Leisure,Pier,-123.543,48.822
Leisure,Pier,-123.542,48.880
Leisure,Pier,-123.542,48.879
Leisure,Pier,-123.541,48.897
Leisure,Pier,-123.541,48.897
Leisure,Pier,-123.541,48.898
Leisure,Picnic spot,-123.539,48.453
Leisure,Fishing,-123.538,48.453
Leisure,Pier,-123.538,48.899
Leisure,Pier,-123.538,48.881
Leisure,Pier,-123.538,48.824
Leisure,Pier,-123.538,48.824
Leisure,Pier,-123.537,48.882
Leisure,Pier,-123.537,48.899
Leisure,Pier,-123.537,48.882
Leisure,Picnic spot,-123.537,48.449
Leisure,Picnic spot,-123.537,48.449
Leisure,Pier,-123.537,48.879
Leisure,Pier,-123.537,48.879
Leisure,Pier,-123.536,48.883
Leisure,Picnic spot,-123.534,48.508
Leisure,Park:Nehalem County Park,-123.533,45.849
Leisure,Pier,-123.532,48.343
Leisure,Picnic spot,-123.532,48.509
Leisure,Pier,-123.532,48.299
Leisure,Pier,-123.528,48.628
Leisure,Picnic spot,-123.528,48.579
Leisure,Picnic spot,-123.526,48.444
Leisure,Nature reserve:Bamberton Park,-123.526,48.606
Leisure,Fishing,-123.526,48.440
Leisure,Picnic spot,-123.522,48.606
Leisure,Pier,-123.522,48.793
Leisure,Pier,-123.521,48.793
Leisure,Picnic spot,-123.521,48.389
Leisure,Pier,-123.521,48.583
Leisure,Pier,-123.520,48.608
Leisure,Picnic spot,-123.519,48.854
Leisure,Park:Aldrich Point Boat Ramp,-123.519,46.235
Leisure,Pier,-123.519,48.614
Leisure,Park:Mount Maxwell Provincial Park,-123.517,48.802
Leisure,Pier,-123.516,48.493
Leisure,Pier,-123.515,48.878
Leisure,Pier,-123.511,48.874
Leisure,Pier,-123.510,48.488
Leisure,Playground:Saturn Play Grounds,-123.509,48.434
Leisure,Picnic spot,-123.506,48.432
Leisure,Park:Mouat Park,-123.505,48.852
Leisure,Park:Gnat Creek Campground,-123.505,46.177
Leisure,Pier,-123.503,48.941
Leisure,Playground,-123.502,48.401
Leisure,Pier,-123.501,48.524
Leisure,Pier,-123.501,48.941
Leisure,Pier,-123.500,48.524
Leisure,Nature reserve:Mouat Provincial Park,-123.500,48.852
Leisure,Picnic spot,-123.499,47.969
Leisure,Attraction:Hurricane Ridge Visitor Center,-123.498,47.969
Leisure,Pier,-123.497,48.546
Leisure,Pier,-123.496,48.564
Leisure,Pier,-123.494,48.566
Leisure,Pier,-123.494,48.566
Leisure,Pier,-123.494,48.568
Leisure,Pier,-123.493,48.569
Leisure,Pier,-123.492,48.570
Leisure,Pier,-123.492,48.570
Leisure,Pier,-123.492,48.387
Leisure,Mooring line:Saltspring Island Sailing Club,-123.490,48.844
Leisure,Pier,-123.490,48.573
Leisure,Playground,-123.489,48.450
Leisure,Pier,-123.489,48.574
Leisure,Picnic spot,-123.489,48.458
Leisure,Park:Thetis Lake Regional Park,-123.489,48.516
Leisure,Picnic spot,-123.488,48.457
Leisure,Pier,-123.487,48.854
Leisure,Picnic spot,-123.487,48.457
Leisure,Pier,-123.487,48.512
Leisure,Pier,-123.486,48.856
Leisure,Pier,-123.486,48.577
Leisure,Pier,-123.485,48.845
Leisure,Pier,-123.484,48.576
Leisure,Pier,-123.483,48.821
Leisure,Pier,-123.483,48.576
Leisure,Pier,-123.482,48.576
Leisure,Attraction:Black Diamond Winery,-123.481,48.078
Leisure,Picnic spot,-123.481,48.452
Leisure,Pier,-123.481,48.483
Leisure,Pier,-123.481,48.390
Leisure,Pier,-123.480,48.599
